ano_mes;canal;unidade_id;cidade;uf;meta_receita_liquida;meta_pedidos;meta_ticket_medio;meta_margem_bruta_pct;meta_taxa_devolucao_pct;inicio_operacao;observacao
2018-11;loja_fisica;LJ-BQ;Barbacena;MG;21344.40;158;135.09;0.52;0.04;2018-11-01;meta_historica
2018-11;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;24393.60;178;137.04;0.52;0.04;2018-11-01;meta_historica
2018-12;loja_fisica;LJ-BQ;Barbacena;MG;22140.55;164;135.00;0.52;0.04;2018-11-01;meta_historica
2018-12;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;25303.49;185;136.78;0.52;0.04;2018-11-01;meta_historica
2019-01;loja_fisica;LJ-BQ;Barbacena;MG;23326.90;173;134.84;0.52;0.04;2018-11-01;meta_historica
2019-01;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;26659.32;195;136.71;0.52;0.04;2018-11-01;meta_historica
2019-02;loja_fisica;LJ-BQ;Barbacena;MG;27447.30;203;135.21;0.52;0.04;2018-11-01;meta_historica
2019-02;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;31368.35;229;136.98;0.52;0.04;2018-11-01;meta_historica
2019-03;loja_fisica;LJ-BQ;Barbacena;MG;25743.90;191;134.78;0.52;0.04;2018-11-01;meta_historica
2019-03;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;29421.60;215;136.84;0.52;0.04;2018-11-01;meta_historica
2019-04;loja_fisica;LJ-BQ;Barbacena;MG;21008.40;156;134.67;0.52;0.04;2018-11-01;meta_historica
2019-04;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;24009.60;176;136.42;0.52;0.04;2018-11-01;meta_historica
2019-05;loja_fisica;LJ-BQ;Barbacena;MG;23135.41;171;135.29;0.52;0.04;2018-11-01;meta_historica
2019-05;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;26440.47;193;137.00;0.52;0.04;2018-11-01;meta_historica
2019-06;loja_fisica;LJ-BQ;Barbacena;MG;26857.00;199;134.96;0.52;0.04;2018-11-01;meta_historica
2019-06;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;30693.72;224;137.03;0.52;0.04;2018-11-01;meta_historica
2019-07;loja_fisica;LJ-BQ;Barbacena;MG;22248.24;165;134.84;0.52;0.04;2018-11-01;meta_historica
2019-07;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;25426.56;186;136.70;0.52;0.04;2018-11-01;meta_historica
2019-08;loja_fisica;LJ-BQ;Barbacena;MG;25380.90;188;135.00;0.52;0.04;2018-11-01;meta_historica
2019-08;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;29006.75;212;136.82;0.52;0.04;2018-11-01;meta_historica
2019-09;loja_fisica;LJ-BQ;Barbacena;MG;25843.78;191;135.31;0.52;0.04;2018-11-01;meta_historica
2019-09;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;29535.74;216;136.74;0.52;0.04;2018-11-01;meta_historica
2019-10;loja_fisica;LJ-BQ;Barbacena;MG;23488.08;174;134.99;0.52;0.04;2018-11-01;meta_historica
2019-10;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;26843.52;196;136.96;0.52;0.04;2018-11-01;meta_historica
2019-11;loja_fisica;LJ-BQ;Barbacena;MG;35852.04;265;135.29;0.52;0.04;2018-11-01;meta_historica
2019-11;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;40973.76;299;137.04;0.52;0.04;2018-11-01;meta_historica
2019-12;loja_fisica;LJ-BQ;Barbacena;MG;28204.98;209;134.95;0.52;0.04;2018-11-01;meta_historica
2019-12;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;32234.27;236;136.59;0.52;0.04;2018-11-01;meta_historica
2020-01;loja_fisica;LJ-BQ;Barbacena;MG;20638.77;153;134.89;0.52;0.04;2018-11-01;meta_historica
2020-01;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;23587.16;172;137.13;0.52;0.04;2018-11-01;meta_historica
2020-02;loja_fisica;LJ-BQ;Barbacena;MG;24184.61;179;135.11;0.52;0.04;2018-11-01;meta_historica
2020-02;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;27639.55;202;136.83;0.52;0.04;2018-11-01;meta_historica
2020-03;loja_fisica;LJ-BQ;Barbacena;MG;11991.03;89;134.73;0.52;0.04;2018-11-01;meta_historica
2020-03;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;13704.04;100;137.04;0.52;0.04;2018-11-01;meta_historica
2020-04;loja_fisica;LJ-BQ;Barbacena;MG;11387.81;85;133.97;0.52;0.04;2018-11-01;meta_historica
2020-04;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;13014.64;95;137.00;0.52;0.04;2018-11-01;meta_historica
2020-04;ecommerce;EC-BR;Brasil;BR;30846.82;237;130.16;0.48;0.06;2020-04-01;meta_historica
2020-05;loja_fisica;LJ-BQ;Barbacena;MG;14577.00;108;134.97;0.52;0.04;2018-11-01;meta_historica
2020-05;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;16659.43;122;136.55;0.52;0.04;2018-11-01;meta_historica
2020-05;ecommerce;EC-BR;Brasil;BR;39178.86;301;130.16;0.48;0.06;2020-04-01;meta_historica
2020-06;loja_fisica;LJ-BQ;Barbacena;MG;12337.80;92;134.11;0.52;0.04;2018-11-01;meta_historica
2020-06;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;14100.35;103;136.90;0.52;0.04;2018-11-01;meta_historica
2020-06;ecommerce;EC-BR;Brasil;BR;33697.20;259;130.11;0.48;0.06;2020-04-01;meta_historica
2020-07;loja_fisica;LJ-BQ;Barbacena;MG;19244.40;143;134.58;0.52;0.04;2018-11-01;meta_historica
2020-07;loja_fisica;LJ-CL;Conselheiro Lafaiete;MG;21993.60;161;136.61;0.52;0.04;2018-11-01;meta_historica
