id_venda;data_venda;hora_venda;cliente_id;genero_cliente;faixa_etaria;produto_id;produto;genero_produto;categoria;tamanho;cor;quantidade;preco_unitario;desconto_pct;valor_desconto;valor_bruto;valor_liquido;custo_unitario;custo_total;margem_bruta;status_pedido;campanha;canal;loja_id;loja_nome;cidade;uf;vendedor_id;forma_pagamento
BQ-000001;2018-11-01;13:51:00;CLI-01506;M;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;PP;Rosa;1;64.90;0.15;9.74;64.90;55.17;24.90;24.90;30.27;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;debito
BQ-000002;2018-11-02;17:20:56;CLI-01950;M;25-34;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;P;Preto;1;109.90;0.10;10.99;109.90;98.91;45.10;45.10;53.81;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;pix
BQ-000003;2018-11-02;14:02:23;CLI-02229;F;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Verde Oliva;2;79.90;0.15;23.97;159.80;135.83;31.70;63.40;72.43;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;debito
BQ-000004;2018-11-02;13:44:45;CLI-01535;Nao informado;18-24;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;GG;Grafite;3;64.90;0.00;0.00;194.70;194.70;24.90;74.70;120.00;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;credito
BQ-000005;2018-11-02;15:25:51;CLI-00214;F;18-24;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;G;Vinho;1;29.90;0.00;0.00;29.90;29.90;9.80;9.80;20.10;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;debito
BQ-000006;2018-11-02;12:56:03;CLI-00813;M;55+;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;G;Grafite;1;99.90;0.00;0.00;99.90;99.90;39.20;39.20;60.70;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;dinheiro
BQ-000007;2018-11-02;17:38:53;CLI-00409;F;55+;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;P;Azul Marinho;2;159.90;0.30;95.94;319.80;223.86;70.20;140.40;83.46;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;dinheiro
BQ-000008;2018-11-03;14:14:13;CLI-00067;F;18-24;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;P;Verde Oliva;1;139.90;0.20;27.98;139.90;111.92;57.80;57.80;54.12;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;debito
BQ-000009;2018-11-03;19:28:53;CLI-01755;F;35-44;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;M;Vinho;1;29.90;0.15;4.48;29.90;25.41;9.80;9.80;15.61;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;dinheiro
BQ-000010;2018-11-03;16:35:09;CLI-01464;Nao informado;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;M;Verde Oliva;1;99.90;0.25;24.98;99.90;74.93;39.20;39.20;35.73;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
