id_venda;data_venda;hora_venda;cliente_id;genero_cliente;faixa_etaria;produto_id;produto;genero_produto;categoria;tamanho;cor;quantidade;preco_unitario;desconto_pct;valor_desconto;valor_bruto;valor_liquido;custo_unitario;custo_total;margem_bruta;status_pedido;campanha;canal;loja_id;loja_nome;cidade;uf;vendedor_id;forma_pagamento
CL-000001;2018-11-01;15:18:15;CLI-01044;F;35-44;XFIT-REG-005;Regata Essential;Unissex;Regatas;M;Preto;2;69.90;0.00;0.00;139.80;139.80;27.60;55.20;84.60;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;dinheiro
CL-000002;2018-11-02;13:56:17;CLI-00992;M;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;PP;Branco;1;99.90;0.00;0.00;99.90;99.90;39.20;39.20;60.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000003;2018-11-02;13:29:41;CLI-02658;F;25-34;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;PP;Vinho;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000004;2018-11-02;10:36:45;CLI-02250;F;45-54;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;GG;Rosa;2;99.90;0.00;0.00;199.80;199.80;39.20;78.40;121.40;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;debito
CL-000005;2018-11-03;13:41:42;CLI-01525;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;PP;Grafite;1;79.90;0.10;7.99;79.90;71.91;31.70;31.70;40.21;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;pix
CL-000006;2018-11-03;10:15:23;CLI-00307;F;35-44;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;M;Grafite;1;64.90;0.10;6.49;64.90;58.41;24.90;24.90;33.51;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;dinheiro
CL-000007;2018-11-03;19:53:21;CLI-01945;F;18-24;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;M;Rosa;1;139.90;0.10;13.99;139.90;125.91;57.80;57.80;68.11;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000008;2018-11-03;17:55:33;CLI-02712;F;25-34;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;GG;Rosa;1;29.90;0.05;1.50;29.90;28.40;9.80;9.80;18.60;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;dinheiro
CL-000009;2018-11-05;18:08:58;CLI-02698;F;25-34;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;P;Rosa;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;credito
CL-000010;2018-11-05;18:09:49;CLI-01847;M;25-34;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;GG;Branco;2;89.90;0.20;35.96;179.80;143.84;35.50;71.00;72.84;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;dinheiro
CL-000011;2018-11-05;15:07:34;CLI-01431;F;55+;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;M;Verde Oliva;1;139.90;0.10;13.99;139.90;125.91;57.80;57.80;68.11;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;credito
CL-000012;2018-11-06;16:25:59;CLI-02055;F;45-54;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;GG;Grafite;1;64.90;0.00;0.00;64.90;64.90;24.90;24.90;40.00;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000013;2018-11-06;14:15:10;CLI-01122;Nao informado;55+;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;PP;Preto;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;debito
CL-000014;2018-11-06;16:45:57;CLI-02516;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;PP;Azul Marinho;2;149.90;0.00;0.00;299.80;299.80;63.40;126.80;173.00;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;pix
CL-000015;2018-11-07;18:09:55;CLI-02607;F;45-54;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Grafite;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;devolvida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;dinheiro
CL-000016;2018-11-07;16:21:33;CLI-02774;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;PP;Preto;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;debito
CL-000017;2018-11-08;14:21:36;CLI-00214;M;35-44;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;P;Grafite;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;pix
CL-000018;2018-11-08;16:23:13;CLI-02167;M;25-34;XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;M;Vinho;2;189.90;0.15;56.97;379.80;322.83;82.30;164.60;158.23;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;dinheiro
CL-000019;2018-11-08;20:07:41;CLI-01127;M;18-24;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;GG;Grafite;1;64.90;0.00;0.00;64.90;64.90;24.90;24.90;40.00;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;credito
CL-000020;2018-11-09;21:33:21;CLI-02185;F;35-44;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Branco;1;139.90;0.10;13.99;139.90;125.91;57.80;57.80;68.11;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;pix
CL-000021;2018-11-09;19:58:05;CLI-01301;F;35-44;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Preto;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;pix
CL-000022;2018-11-09;12:28:38;CLI-00577;F;45-54;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;M;Vinho;2;64.90;0.05;6.49;129.80;123.31;24.90;49.80;73.51;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000023;2018-11-09;17:21:27;CLI-00709;F;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;G;Preto;2;99.90;0.10;19.98;199.80;179.82;39.20;78.40;101.42;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;credito
CL-000024;2018-11-10;17:07:38;CLI-02125;F;18-24;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;P;Rosa;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;pix
CL-000025;2018-11-10;11:12:56;CLI-01142;F;25-34;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;GG;Azul Marinho;1;89.90;0.00;0.00;89.90;89.90;35.50;35.50;54.40;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;pix
