produto_id;produto;genero_produto;categoria;preco_lista;custo_padrao
XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;139.90;57.80
XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;99.90;39.20
XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;89.90;35.50
XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;79.90;31.70
XFIT-REG-005;Regata Essential;Unissex;Regatas;69.90;27.60
XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;219.90;98.40
XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;159.90;70.20
XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;109.90;45.10
XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;189.90;82.30
XFIT-MEI-010;Meia Performance;Unissex;Acessorios;29.90;9.80
XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;64.90;24.90
XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;149.90;63.40
